a	1654947
in	1263971
i	1169680
he	1096157
was	947161
it	911008
had	600090
as	580363
is	531216
not	518546
but	505488
at	478772
on	443664
be	442262
have	379843
by	347603
all	338828
me	332941
said	305524
so	295147
were	276481
there	267894
one	253233
no	239145
or	235419
an	223611
are	218358
who	208502
been	194897
will	191081
out	186597
then	183742
up	178328
do	176144
more	158927
man	158856
now	157905
about	137957
very	137757
like	135477
did	135344
some	129370
time	126549
little	119995
only	119820
well	119015
know	113813
has	113171
see	112413
other	108101
any	101870
good	100874
before	100730
down	99817
after	99049
come	98224
two	97738
over	94810
such	94305
can	93740
mr	93354
must	92590
us	91729
made	91277
go	91209
here	88796
never	87953
say	86908
old	86678
much	86381
great	86229
its	83657
came	83465
first	82923
again	82823
way	79439
may	79406
am	79266
own	77964
think	77059
back	76236
went	75701
day	75607
too	73865
might	73454
men	72063
even	72046
thought	71500
long	71386
life	70611
just	69878
eyes	68716
away	67047
through	66986
make	66280
nothing	65814
still	65786
being	65515
most	63064
hand	62614
yet	62408
last	62055
sir	61589
though	61225
let	61015
take	60862
people	58522
house	57551
why	57336
face	57075
once	56306
get	55962
same	55527
while	55330
head	55259
off	54799
every	54727
saw	54331
another	54201
tell	53810
looked	53272
right	53256
room	53246
things	52786
many	52760
night	52076
place	51883
young	51378
yes	50638
seemed	50268
look	50069
got	49813
mrs	49767
took	49088
going	48874
father	48830
always	48680
found	48598
under	48508
left	48317
give	48233
three	47917
put	47530
ever	46933
mind	46908
thing	46076
love	45912
asked	44866
moment	44578
world	44548
heard	43403
new	42869
knew	42433
door	42336
oh	41117
quite	40983
done	40785
home	40769
woman	40394
told	40288
mother	39936
began	39082
hands	38804
king	38552
better	38550
thou	38430
heart	38268
far	38193
lady	37881
having	37802
felt	37468
whole	37045
each	36784
between	36672
turned	36636
years	36635
find	36617
also	36568
work	36498
seen	36459
half	36193
part	35903
enough	35895
side	35676
want	35315
course	35188
god	35092
both	35025
voice	34761
name	34380
few	34377
morning	34204
lord	33931
words	33547
perhaps	33477
soon	33475
light	32681
gave	32534
almost	32445
miss	32384
round	32165
stood	31974
dear	31896
end	31724
called	31689
wife	31526
poor	31356
looking	31094
de	31056
rather	30763
friend	30640
days	30175
word	30091
does	29235
till	28880
however	28840
money	28410
set	28316
matter	28268
brought	28179
next	28168
white	28106
gone	28035
death	27975
indeed	27857
sat	27542
together	27169
girl	26965
water	26516
true	26428
really	26337
kind	26239
taken	26225
thus	25862
believe	25803
best	25796
alone	25717
cried	25710
full	25462
hear	25399
behind	25362
small	25340
country	25178
sure	25170
air	24728
speak	24659
already	24346
black	24257
suddenly	24238
leave	24158
along	24131
keep	24119
open	24079
passed	24068
says	24038
feet	23937
less	23716
mean	23704
table	23637
replied	23577
son	23475
lay	23213
given	22989
high	22965
five	22851
present	22832
four	22770
boy	22487
letter	22486
evening	22435
least	22353
certain	22339
hour	22309
power	22288
bed	22248
business	22216
above	22183
near	22151
answered	22145
case	22073
order	22042
coming	22010
dead	21942
children	21839
hope	21763
hundred	21738
child	21672
fact	21617
dark	21491
read	21289
nature	21222
rest	21188
times	21163
either	21124
understand	21092
sort	21044
within	21030
m	20829
general	20793
reason	20753
call	20668
wish	20640
help	20574
o	20571
used	20477
therefore	20359
master	20334
body	20333
fire	20315
state	20218
friends	20150
second	20148
women	20096
talk	19972
often	19963
feel	19962
fell	19849
large	19775
known	19767
use	19669
ask	19645
lost	19616
point	19588
brother	19501
arms	19427
earth	19222
answer	19133
